trip_id,pickup_datetime,dropoff_datetime,pickup_location_id,dropoff_location_id,passenger_count,trip_distance,fare_amount,tip_amount,total_amount,payment_type,vendor_id,trip_duration,pickup_hour,pickup_day,pickup_month,pickup_date,is_weekend,fare_per_km,tip_per
20,2024-01-05 10:36:00,2024-01-05 11:31:00,246,84,1,23.4,470.9,50.84,521.74,Card,1,55.0,10,Friday,January,2024-01-05,False,20.12,10.8
21,2024-01-20 02:00:00,2024-01-20 02:34:00,71,227,1,21.61,444.47,27.94,472.41,Cash,1,34.0,2,Saturday,January,2024-01-20,False,20.57,6.29
22,2024-01-29 18:34:00,2024-01-29 18:49:00,195,260,2,17.64,378.51,26.83,405.34,Card,1,15.0,18,Monday,January,2024-01-29,False,21.46,7.09
23,2024-01-18 19:38:00,2024-01-18 20:58:00,38,20,1,5.09,134.44,6.82,141.26,Card,1,80.0,19,Thursday,January,2024-01-18,False,26.41,5.07
24,2024-01-14 03:42:00,2024-01-14 04:25:00,117,35,5,7.52,193.99,9.98,203.97,Card,1,43.0,3,Sunday,January,2024-01-14,False,25.8,5.14
25,2024-01-13 19:11:00,2024-01-13 20:32:00,238,243,1,6.11,177.48,19.0,196.48,Cash,2,81.0,19,Saturday,January,2024-01-13,False,29.05,10.71
26,2024-01-02 21:47:00,2024-01-02 23:03:00,204,223,2,15.49,327.79,56.17,383.96,Card,1,76.0,21,Tuesday,January,2024-01-02,False,21.16,17.14
27,2024-01-01 03:09:00,2024-01-01 04:16:00,5,158,3,13.09,294.42,40.64,335.06,Card,1,67.0,3,Monday,January,2024-01-01,False,22.49,13.8
28,2024-01-14 06:38:00,2024-01-14 07:46:00,157,36,1,21.81,457.22,66.41,523.63,Card,2,68.0,6,Sunday,January,2024-01-14,False,20.96,14.52
29,2024-01-25 20:13:00,2024-01-25 21:18:00,107,29,2,23.86,484.83,62.0,546.83,Cash,2,65.0,20,Thursday,January,2024-01-25,False,20.32,12.79
30,2024-01-02 07:39:00,2024-01-02 08:37:00,228,255,3,10.72,254.5,44.02,298.52,Card,1,58.0,7,Tuesday,January,2024-01-02,False,23.74,17.3
31,2024-01-01 21:07:00,2024-01-01 22:24:00,142,142,1,13.15,286.03,52.07,338.1,Cash,2,77.0,21,Monday,January,2024-01-01,False,21.75,18.2
32,2024-01-22 21:51:00,2024-01-22 22:53:00,172,134,6,24.32,486.94,86.41,573.35,Card,2,62.0,21,Monday,January,2024-01-22,False,20.02,17.75
33,2024-01-08 21:54:00,2024-01-08 23:23:00,146,144,1,7.63,197.37,33.91,231.28,Cash,1,89.0,21,Monday,January,2024-01-08,False,25.87,17.18
34,2024-01-03 11:16:00,2024-01-03 12:16:00,7,245,1,20.02,421.52,32.63,454.15,Cash,1,60.0,11,Wednesday,January,2024-01-03,False,21.05,7.74
35,2024-01-03 16:50:00,2024-01-03 17:28:00,16,254,2,6.41,183.49,25.52,209.01,Card,2,38.0,16,Wednesday,January,2024-01-03,False,28.63,13.91
36,2024-01-29 21:26:00,2024-01-29 22:01:00,37,5,1,17.36,359.23,49.33,408.56,Card,1,35.0,21,Monday,January,2024-01-29,False,20.69,13.73
37,2024-01-22 08:20:00,2024-01-22 09:16:00,153,239,2,7.09,181.67,23.47,205.14,Card,1,56.0,8,Monday,January,2024-01-22,False,25.62,12.92
38,2024-01-11 01:42:00,2024-01-11 03:02:00,183,250,3,22.21,447.3,54.63,501.93,Cash,2,80.0,1,Thursday,January,2024-01-11,False,20.14,12.21
39,2024-01-16 02:57:00,2024-01-16 03:02:00,156,31,5,14.48,303.04,19.21,322.25,Card,1,5.0,2,Tuesday,January,2024-01-16,False,20.93,6.34
40,2024-01-08 09:07:00,2024-01-08 10:06:00,137,120,1,5.46,150.38,9.82,160.2,Card,2,59.0,9,Monday,January,2024-01-08,False,27.54,6.53
41,2024-01-07 02:32:00,2024-01-07 02:58:00,90,79,5,6.38,166.06,30.78,196.84,Card,2,26.0,2,Sunday,January,2024-01-07,False,26.03,18.54
42,2024-01-30 21:01:00,2024-01-30 21:45:00,218,9,1,12.85,279.41,40.38,319.79,Card,2,44.0,21,Tuesday,January,2024-01-30,False,21.74,14.45
43,2024-01-06 20:33:00,2024-01-06 20:38:00,186,44,1,24.08,482.35,43.1,525.45,Card,2,5.0,20,Saturday,January,2024-01-06,False,20.03,8.94
44,2024-01-30 20:41:00,2024-01-30 21:50:00,209,222,1,19.47,401.27,36.87,438.14,Card,2,69.0,20,Tuesday,January,2024-01-30,False,20.61,9.19
45,2024-01-08 15:36:00,2024-01-08 16:43:00,51,144,2,12.72,298.63,42.26,340.89,Card,1,67.0,15,Monday,January,2024-01-08,False,23.48,14.15
46,2024-01-17 14:17:00,2024-01-17 15:15:00,88,120,1,9.11,227.47,25.26,252.73,Card,2,58.0,14,Wednesday,January,2024-01-17,False,24.97,11.1
47,2024-01-02 19:32:00,2024-01-02 20:18:00,136,53,2,14.18,297.38,34.56,331.94,Card,1,46.0,19,Tuesday,January,2024-01-02,False,20.97,11.62
48,2024-01-17 07:23:00,2024-01-17 07:48:00,158,65,1,18.96,407.45,24.08,431.53,Cash,1,25.0,7,Wednesday,January,2024-01-17,False,21.49,5.91
49,2024-01-12 21:59:00,2024-01-12 23:22:00,155,176,1,19.81,415.58,29.43,445.01,Card,2,83.0,21,Friday,January,2024-01-12,False,20.98,7.08
50,2024-01-29 11:14:00,2024-01-29 12:39:00,220,70,5,8.79,224.94,24.52,249.46,Card,1,85.0,11,Monday,January,2024-01-29,False,25.59,10.9
51,2024-01-11 02:21:00,2024-01-11 02:47:00,167,121,1,18.31,379.83,58.86,438.69,Card,2,26.0,2,Thursday,January,2024-01-11,False,20.74,15.5
52,2024-01-25 22:40:00,2024-01-25 23:22:00,179,203,1,16.79,356.16,20.37,376.53,Cash,2,42.0,22,Thursday,January,2024-01-25,False,21.21,5.72
53,2024-01-19 10:11:00,2024-01-19 11:35:00,50,180,2,24.02,499.25,50.02,549.27,Card,1,84.0,10,Friday,January,2024-01-19,False,20.78,10.02
54,2024-01-02 02:25:00,2024-01-02 02:37:00,87,81,1,23.35,468.48,72.27,540.75,Cash,2,12.0,2,Tuesday,January,2024-01-02,False,20.06,15.43
55,2024-01-03 17:43:00,2024-01-03 18:49:00,33,55,3,19.95,426.57,72.01,498.58,Card,1,66.0,17,Wednesday,January,2024-01-03,False,21.38,16.88
56,2024-01-17 14:59:00,2024-01-17 15:50:00,141,179,1,18.36,395.33,31.05,426.38,Card,1,51.0,14,Wednesday,January,2024-01-17,False,21.53,7.85
57,2024-01-14 12:17:00,2024-01-14 12:38:00,206,98,1,7.58,205.86,32.88,238.74,Card,1,21.0,12,Sunday,January,2024-01-14,False,27.16,15.97
58,2024-01-01 17:01:00,2024-01-01 17:22:00,224,110,1,21.3,433.13,83.73,516.86,Card,2,21.0,17,Monday,January,2024-01-01,False,20.33,19.33
59,2024-01-09 02:13:00,2024-01-09 02:30:00,113,153,1,11.26,249.75,46.46,296.21,Cash,1,17.0,2,Tuesday,January,2024-01-09,False,22.18,18.6
60,2024-01-10 07:37:00,2024-01-10 07:58:00,5,125,2,7.53,185.47,31.23,216.7,Cash,2,21.0,7,Wednesday,January,2024-01-10,False,24.63,16.84
61,2024-01-29 07:17:00,2024-01-29 07:59:00,212,91,1,10.22,252.6,39.62,292.22,Card,1,42.0,7,Monday,January,2024-01-29,False,24.72,15.68
62,2024-01-07 17:32:00,2024-01-07 18:57:00,256,37,3,21.06,429.07,36.59,465.66,Card,1,85.0,17,Sunday,January,2024-01-07,False,20.37,8.53
63,2024-01-05 18:33:00,2024-01-05 19:55:00,30,5,1,4.57,139.22,20.2,159.42,Card,2,82.0,18,Friday,January,2024-01-05,False,30.46,14.51
64,2024-01-04 22:35:00,2024-01-04 23:24:00,82,150,1,11.95,267.21,39.14,306.35,Cash,1,49.0,22,Thursday,January,2024-01-04,False,22.36,14.65
65,2024-01-01 02:41:00,2024-01-01 02:51:00,236,172,2,12.82,282.65,31.38,314.03,Card,1,10.0,2,Monday,January,2024-01-01,False,22.05,11.1
66,2024-01-26 17:45:00,2024-01-26 18:24:00,253,262,2,1.88,79.64,9.87,89.51,Card,1,39.0,17,Friday,January,2024-01-26,False,42.36,12.39
67,2024-01-19 10:37:00,2024-01-19 10:55:00,118,27,2,5.7,158.71,24.46,183.17,Card,2,18.0,10,Friday,January,2024-01-19,False,27.84,15.41
68,2024-01-24 10:43:00,2024-01-24 11:59:00,30,55,2,20.84,440.6,84.95,525.55,Cash,2,76.0,10,Wednesday,January,2024-01-24,False,21.14,19.28
69,2024-01-23 15:26:00,2024-01-23 16:31:00,111,249,1,20.94,418.4,39.45,457.85,Card,1,65.0,15,Tuesday,January,2024-01-23,False,19.98,9.43
70,2024-01-09 00:14:00,2024-01-09 00:33:00,254,259,2,8.02,211.04,18.35,229.39,Card,1,19.0,0,Tuesday,January,2024-01-09,False,26.31,8.7
71,2024-01-21 05:27:00,2024-01-21 06:25:00,199,191,1,22.0,455.96,63.96,519.92,Card,2,58.0,5,Sunday,January,2024-01-21,False,20.73,14.03
72,2024-01-29 01:17:00,2024-01-29 01:48:00,244,63,1,19.52,409.86,28.53,438.39,Cash,2,31.0,1,Monday,January,2024-01-29,False,21.0,6.96
73,2024-01-18 22:51:00,2024-01-18 23:08:00,221,104,4,11.03,257.32,35.35,292.67,Card,2,17.0,22,Thursday,January,2024-01-18,False,23.33,13.74
74,2024-01-01 16:56:00,2024-01-01 17:31:00,156,259,1,18.96,390.17,24.71,414.88,Card,1,35.0,16,Monday,January,2024-01-01,False,20.58,6.33
75,2024-01-17 20:13:00,2024-01-17 20:52:00,236,161,2,24.07,485.71,60.03,545.74,Card,1,39.0,20,Wednesday,January,2024-01-17,False,20.18,12.36
76,2024-01-17 20:36:00,2024-01-17 21:40:00,19,171,1,12.02,280.34,40.11,320.45,Card,2,64.0,20,Wednesday,January,2024-01-17,False,23.32,14.31
77,2024-01-17 03:27:00,2024-01-17 03:37:00,215,109,1,6.72,170.15,10.3,180.45,Card,2,10.0,3,Wednesday,January,2024-01-17,False,25.32,6.05
78,2024-01-17 21:00:00,2024-01-17 22:13:00,114,140,1,23.6,478.9,38.81,517.71,Card,1,73.0,21,Wednesday,January,2024-01-17,False,20.29,8.1
79,2024-01-06 22:09:00,2024-01-06 23:39:00,200,93,2,15.49,319.41,32.04,351.45,Card,1,90.0,22,Saturday,January,2024-01-06,False,20.62,10.03
80,2024-01-12 23:42:00,2024-01-13 00:44:00,25,103,1,3.53,125.55,13.22,138.77,Card,2,62.0,23,Friday,January,2024-01-12,False,35.57,10.53
81,2024-01-07 10:28:00,2024-01-07 11:21:00,121,226,1,14.74,317.85,48.13,365.98,Card,2,53.0,10,Sunday,January,2024-01-07,False,21.56,15.14
82,2024-01-15 18:31:00,2024-01-15 18:58:00,230,160,3,13.01,289.94,37.5,327.44,Card,1,27.0,18,Monday,January,2024-01-15,False,22.29,12.93
83,2024-01-09 11:05:00,2024-01-09 11:43:00,99,195,1,21.53,430.98,46.25,477.23,Cash,2,38.0,11,Tuesday,January,2024-01-09,False,20.02,10.73
84,2024-01-15 18:03:00,2024-01-15 18:33:00,3,145,1,13.74,317.07,37.29,354.36,Card,1,30.0,18,Monday,January,2024-01-15,False,23.08,11.76
85,2024-01-28 03:39:00,2024-01-28 04:30:00,261,242,3,7.13,177.41,9.22,186.63,Card,1,51.0,3,Sunday,January,2024-01-28,False,24.88,5.2
86,2024-01-06 22:51:00,2024-01-06 23:00:00,254,132,4,17.22,369.01,61.1,430.11,Card,1,9.0,22,Saturday,January,2024-01-06,False,21.43,16.56
87,2024-01-28 18:16:00,2024-01-28 18:40:00,20,93,1,14.02,309.8,17.4,327.2,Card,2,24.0,18,Sunday,January,2024-01-28,False,22.1,5.62
88,2024-01-27 10:04:00,2024-01-27 10:14:00,204,192,3,6.59,182.17,31.77,213.94,Cash,1,10.0,10,Saturday,January,2024-01-27,False,27.64,17.44
89,2024-01-29 07:34:00,2024-01-29 08:48:00,128,22,1,14.77,314.68,41.27,355.95,Card,2,74.0,7,Monday,January,2024-01-29,False,21.31,13.11
90,2024-01-02 18:48:00,2024-01-02 19:51:00,174,194,1,20.72,435.64,56.27,491.91,Card,2,63.0,18,Tuesday,January,2024-01-02,False,21.03,12.92
91,2024-01-02 09:47:00,2024-01-02 10:55:00,221,170,3,1.69,81.9,12.75,94.65,Cash,1,68.0,9,Tuesday,January,2024-01-02,False,48.46,15.57
92,2024-01-02 20:55:00,2024-01-02 21:17:00,37,11,4,16.14,342.85,61.35,404.2,Card,2,22.0,20,Tuesday,January,2024-01-02,False,21.24,17.89
93,2024-01-04 15:38:00,2024-01-04 15:46:00,149,181,1,9.39,229.2,43.87,273.07,Cash,1,8.0,15,Thursday,January,2024-01-04,False,24.41,19.14
94,2024-01-16 06:42:00,2024-01-16 07:03:00,92,232,1,8.02,207.89,27.34,235.23,Card,2,21.0,6,Tuesday,January,2024-01-16,False,25.92,13.15
95,2024-01-28 10:24:00,2024-01-28 10:42:00,70,29,1,10.42,247.57,17.97,265.54,Card,1,18.0,10,Sunday,January,2024-01-28,False,23.76,7.26
96,2024-01-24 00:39:00,2024-01-24 02:01:00,84,20,1,9.21,232.78,42.32,275.1,Cash,1,82.0,0,Wednesday,January,2024-01-24,False,25.27,18.18
97,2024-01-10 17:06:00,2024-01-10 17:23:00,205,5,2,20.97,426.01,23.9,449.91,Cash,1,17.0,17,Wednesday,January,2024-01-10,False,20.32,5.61
98,2024-01-09 19:06:00,2024-01-09 19:17:00,88,34,1,7.6,203.82,34.87,238.69,Card,1,11.0,19,Tuesday,January,2024-01-09,False,26.82,17.11
99,2024-01-27 20:20:00,2024-01-27 21:08:00,252,140,1,18.6,378.73,57.59,436.32,Cash,1,48.0,20,Saturday,January,2024-01-27,False,20.36,15.21
100,2024-01-03 11:21:00,2024-01-03 11:40:00,211,28,2,3.26,118.47,22.0,140.47,Card,2,19.0,11,Wednesday,January,2024-01-03,False,36.34,18.57
101,2024-01-19 15:34:00,2024-01-19 15:57:00,31,98,3,23.83,485.37,89.61,574.98,Card,2,23.0,15,Friday,January,2024-01-19,False,20.37,18.46
102,2024-01-28 01:12:00,2024-01-28 02:19:00,61,262,1,15.94,341.76,19.81,361.57,Card,1,67.0,1,Sunday,January,2024-01-28,False,21.44,5.8
103,2024-01-16 17:42:00,2024-01-16 18:21:00,67,246,2,17.96,372.61,52.69,425.3,Card,2,39.0,17,Tuesday,January,2024-01-16,False,20.75,14.14
104,2024-01-06 19:52:00,2024-01-06 21:17:00,226,19,4,8.15,201.81,13.86,215.67,Card,2,85.0,19,Saturday,January,2024-01-06,False,24.76,6.87
105,2024-01-22 04:55:00,2024-01-22 05:34:00,67,12,1,10.89,240.87,14.88,255.75,Card,1,39.0,4,Monday,January,2024-01-22,False,22.12,6.18
106,2024-01-10 01:47:00,2024-01-10 02:10:00,128,25,3,6.37,165.74,19.43,185.17,Card,1,23.0,1,Wednesday,January,2024-01-10,False,26.02,11.72
107,2024-01-17 09:19:00,2024-01-17 09:43:00,111,13,2,23.38,463.8,29.98,493.78,Card,1,24.0,9,Wednesday,January,2024-01-17,False,19.84,6.46
108,2024-01-25 11:02:00,2024-01-25 11:41:00,34,76,1,12.71,285.94,45.52,331.46,Card,1,39.0,11,Thursday,January,2024-01-25,False,22.5,15.92
109,2024-01-09 05:17:00,2024-01-09 05:53:00,212,259,1,16.13,333.21,65.09,398.3,Cash,1,36.0,5,Tuesday,January,2024-01-09,False,20.66,19.53
110,2024-01-10 17:59:00,2024-01-10 18:51:00,125,24,2,18.62,379.97,51.46,431.43,Card,2,52.0,17,Wednesday,January,2024-01-10,False,20.41,13.54
111,2024-01-22 09:38:00,2024-01-22 10:26:00,103,8,1,9.91,220.94,18.84,239.78,Cash,2,48.0,9,Monday,January,2024-01-22,False,22.29,8.53
112,2024-01-14 06:35:00,2024-01-14 07:03:00,206,228,1,18.28,380.48,67.15,447.63,Card,2,28.0,6,Sunday,January,2024-01-14,False,20.81,17.65
113,2024-01-08 14:45:00,2024-01-08 15:50:00,120,123,1,17.22,375.22,66.78,442.0,Cash,1,65.0,14,Monday,January,2024-01-08,False,21.79,17.8
114,2024-01-18 00:58:00,2024-01-18 01:19:00,170,90,2,17.94,390.13,62.39,452.52,Card,2,21.0,0,Thursday,January,2024-01-18,False,21.75,15.99
115,2024-01-30 12:50:00,2024-01-30 14:05:00,35,224,1,12.74,271.48,38.62,310.1,Cash,1,75.0,12,Tuesday,January,2024-01-30,False,21.31,14.23
116,2024-01-04 12:16:00,2024-01-04 13:10:00,246,224,1,10.19,242.46,43.68,286.14,Card,1,54.0,12,Thursday,January,2024-01-04,False,23.79,18.02
117,2024-01-23 13:22:00,2024-01-23 14:31:00,58,257,1,6.33,174.47,13.0,187.47,Card,1,69.0,13,Tuesday,January,2024-01-23,False,27.56,7.45
118,2024-01-06 15:10:00,2024-01-06 15:46:00,141,3,2,20.79,430.23,81.63,511.86,Card,1,36.0,15,Saturday,January,2024-01-06,False,20.69,18.97
119,2024-01-10 13:33:00,2024-01-10 14:13:00,111,148,1,15.6,340.81,65.46,406.27,Cash,2,40.0,13,Wednesday,January,2024-01-10,False,21.85,19.21
120,2024-01-19 22:26:00,2024-01-19 22:43:00,163,189,1,11.66,256.89,46.45,303.34,Cash,1,17.0,22,Friday,January,2024-01-19,False,22.03,18.08
121,2024-01-13 02:12:00,2024-01-13 03:26:00,111,187,1,23.66,480.57,42.1,522.67,Card,2,74.0,2,Saturday,January,2024-01-13,False,20.31,8.76
122,2024-01-24 02:30:00,2024-01-24 03:32:00,152,188,1,2.15,90.43,16.16,106.59,Card,1,62.0,2,Wednesday,January,2024-01-24,False,42.06,17.87
123,2024-01-05 19:10:00,2024-01-05 19:28:00,65,124,1,21.4,427.89,53.33,481.22,Cash,2,18.0,19,Friday,January,2024-01-05,False,19.99,12.46
124,2024-01-18 16:06:00,2024-01-18 16:47:00,106,37,2,24.94,507.69,70.69,578.38,Cash,2,41.0,16,Thursday,January,2024-01-18,False,20.36,13.92
125,2024-01-01 03:26:00,2024-01-01 04:49:00,216,149,2,22.29,456.08,80.31,536.39,Card,1,83.0,3,Monday,January,2024-01-01,False,20.46,17.61
126,2024-01-15 22:38:00,2024-01-15 23:50:00,91,106,2,20.45,416.36,22.67,439.03,Cash,2,72.0,22,Monday,January,2024-01-15,False,20.36,5.44
127,2024-01-16 12:41:00,2024-01-16 13:25:00,26,103,1,9.98,233.85,24.42,258.27,Card,2,44.0,12,Tuesday,January,2024-01-16,False,23.43,10.44
128,2024-01-17 06:19:00,2024-01-17 07:22:00,157,232,1,6.55,181.16,31.22,212.38,Cash,1,63.0,6,Wednesday,January,2024-01-17,False,27.66,17.23
129,2024-01-29 20:03:00,2024-01-29 21:27:00,72,146,5,18.64,399.57,68.76,468.33,Card,2,84.0,20,Monday,January,2024-01-29,False,21.44,17.21
130,2024-01-16 13:23:00,2024-01-16 13:43:00,44,17,1,8.31,209.07,37.07,246.14,Card,2,20.0,13,Tuesday,January,2024-01-16,False,25.16,17.73
131,2024-01-13 14:21:00,2024-01-13 15:27:00,90,159,2,5.22,147.99,11.16,159.15,Card,2,66.0,14,Saturday,January,2024-01-13,False,28.35,7.54
132,2024-01-11 07:00:00,2024-01-11 07:08:00,133,125,4,19.88,415.11,64.71,479.82,Card,1,8.0,7,Thursday,January,2024-01-11,False,20.88,15.59
133,2024-01-29 00:22:00,2024-01-29 01:11:00,161,173,2,8.5,204.55,14.72,219.27,Card,1,49.0,0,Monday,January,2024-01-29,False,24.06,7.2
134,2024-01-05 10:14:00,2024-01-05 10:46:00,232,163,1,22.95,456.9,76.65,533.55,Cash,2,32.0,10,Friday,January,2024-01-05,False,19.91,16.78
135,2024-01-02 03:58:00,2024-01-02 05:08:00,261,203,1,21.18,432.81,37.55,470.36,Cash,2,70.0,3,Tuesday,January,2024-01-02,False,20.43,8.68
136,2024-01-24 11:47:00,2024-01-24 12:22:00,111,155,1,21.34,440.03,70.7,510.73,Card,2,35.0,11,Wednesday,January,2024-01-24,False,20.62,16.07
137,2024-01-12 05:58:00,2024-01-12 06:05:00,164,261,2,19.52,409.33,48.4,457.73,Cash,2,7.0,5,Friday,January,2024-01-12,False,20.97,11.82
138,2024-01-07 21:14:00,2024-01-07 21:26:00,77,186,2,22.14,466.59,92.36,558.95,Card,1,12.0,21,Sunday,January,2024-01-07,False,21.07,19.79
139,2024-01-20 08:50:00,2024-01-20 09:18:00,209,57,2,20.34,429.44,58.83,488.27,Cash,2,28.0,8,Saturday,January,2024-01-20,False,21.11,13.7
140,2024-01-16 11:39:00,2024-01-16 11:58:00,13,217,1,15.46,322.84,46.78,369.62,Cash,2,19.0,11,Tuesday,January,2024-01-16,False,20.88,14.49
141,2024-01-30 13:17:00,2024-01-30 14:04:00,58,208,3,8.1,191.03,20.1,211.13,Cash,2,47.0,13,Tuesday,January,2024-01-30,False,23.58,10.52
142,2024-01-02 20:53:00,2024-01-02 21:28:00,36,202,2,22.32,444.77,71.24,516.01,Card,1,35.0,20,Tuesday,January,2024-01-02,False,19.93,16.02
143,2024-01-21 11:07:00,2024-01-21 12:24:00,25,74,1,21.17,443.21,55.06,498.27,Card,2,77.0,11,Sunday,January,2024-01-21,False,20.94,12.42
144,2024-01-21 15:23:00,2024-01-21 16:12:00,34,85,1,12.35,283.48,14.94,298.42,Card,2,49.0,15,Sunday,January,2024-01-21,False,22.95,5.27
145,2024-01-03 12:27:00,2024-01-03 13:37:00,140,120,2,1.94,104.51,14.77,119.28,Card,1,70.0,12,Wednesday,January,2024-01-03,False,53.87,14.13
146,2024-01-19 00:19:00,2024-01-19 00:31:00,222,14,1,16.33,349.6,61.03,410.63,Card,2,12.0,0,Friday,January,2024-01-19,False,21.41,17.46
147,2024-01-30 19:41:00,2024-01-30 20:56:00,37,129,1,2.21,104.57,8.94,113.51,Cash,2,75.0,19,Tuesday,January,2024-01-30,False,47.32,8.55
148,2024-01-16 03:54:00,2024-01-16 04:55:00,129,49,1,23.23,475.43,39.54,514.97,Card,2,61.0,3,Tuesday,January,2024-01-16,False,20.47,8.32
149,2024-01-13 12:47:00,2024-01-13 14:11:00,218,242,2,24.08,499.66,70.62,570.28,Card,1,84.0,12,Saturday,January,2024-01-13,False,20.75,14.13
150,2024-01-19 03:05:00,2024-01-19 03:39:00,248,53,1,5.55,161.53,27.9,189.43,Card,1,34.0,3,Friday,January,2024-01-19,False,29.1,17.27
151,2024-01-08 02:30:00,2024-01-08 03:48:00,111,69,1,17.23,369.43,32.3,401.73,Card,2,78.0,2,Monday,January,2024-01-08,False,21.44,8.74
152,2024-01-11 21:47:00,2024-01-11 22:09:00,220,40,3,3.21,114.73,21.78,136.51,Card,2,22.0,21,Thursday,January,2024-01-11,False,35.74,18.98
153,2024-01-16 06:16:00,2024-01-16 07:29:00,196,184,2,18.51,394.87,74.67,469.54,Card,1,73.0,6,Tuesday,January,2024-01-16,False,21.33,18.91
154,2024-01-17 12:16:00,2024-01-17 12:59:00,147,133,2,9.33,220.53,17.66,238.19,Card,1,43.0,12,Wednesday,January,2024-01-17,False,23.64,8.01
155,2024-01-21 21:20:00,2024-01-21 22:24:00,40,56,1,17.35,355.2,31.81,387.01,Card,2,64.0,21,Sunday,January,2024-01-21,False,20.47,8.96
156,2024-01-01 21:46:00,2024-01-01 22:33:00,134,255,2,9.95,220.3,34.17,254.47,Card,2,47.0,21,Monday,January,2024-01-01,False,22.14,15.51
157,2024-01-05 16:56:00,2024-01-05 17:45:00,191,5,2,4.49,135.19,26.06,161.25,Card,2,49.0,16,Friday,January,2024-01-05,False,30.11,19.28
158,2024-01-19 22:11:00,2024-01-19 22:38:00,163,69,5,10.75,251.48,39.35,290.83,Cash,1,27.0,22,Friday,January,2024-01-19,False,23.39,15.65
159,2024-01-07 13:54:00,2024-01-07 15:07:00,61,52,1,3.7,108.97,12.72,121.69,Cash,1,73.0,13,Sunday,January,2024-01-07,False,29.45,11.67
160,2024-01-28 23:34:00,2024-01-28 23:44:00,5,98,1,14.85,315.91,23.8,339.71,Card,1,10.0,23,Sunday,January,2024-01-28,False,21.27,7.53
161,2024-01-16 05:59:00,2024-01-16 06:59:00,37,161,1,1.98,85.3,10.16,95.46,Card,1,60.0,5,Tuesday,January,2024-01-16,False,43.08,11.91
